(0, 0, 46; (0, 0, 34; (0, 0, 67; (0, 0, 91; (0, 0, 60; (0, 0, 95; (0, 0, 91; (0, 0, 108; (0, 0, 108; (0, 0, 114; (0, 0, 102; (0, 0, 108; (0, 0, 106; (0, 0, 123; (0, 0, 110; (0, 0, 111; (0, 0, 114; (0, 0, 117; (0, 0, 147; (0, 0, 89; (0, 0, 50; (0, 0, 58; (0, 0, 80; (0, 0, 108; (0, 0, 246; (0, 0, 526; (0, 0, 575; (4, 0, 832; (54, 0, 1127; (2, 4, 589; (0, 0, 373; (0, 0, 498; (0, 0, 121; (0, 0, 194; (0, 0, 117; (0, 0, 90; (0, 0, 95; (0, 0, 87; (0, 0, 88; (0, 0, 95; (0, 0, 0)
(0, 0, 46; (0, 0, 59; (0, 0, 60; (0, 0, 84; (0, 0, 80; (0, 0, 84; (0, 0, 110; (0, 0, 110; (0, 0, 86; (0, 0, 95; (0, 0, 109; (0, 0, 118; (0, 0, 94; (0, 0, 78; (0, 0, 95; (0, 0, 89; (0, 0, 111; (0, 0, 114; (0, 0, 163; (2, 0, 249; (0, 0, 145; (0, 0, 85; (0, 0, 115; (0, 0, 63; (0, 0, 107; (0, 0, 821; (-6, -6, 393; (4, 2, 470; (-10, -16, 1055; (-20, -16, 1594; (-26, 0, 385; (0, 0, 413; (0, 0, 114; (0, 0, 142; (0, 0, 176; (0, 0, 87; (0, 0, 66; (0, 0, 73; (0, 0, 84; (0, 0, 86; (0, 0, 0)
(0, 0, 29; (0, 0, 49; (0, 0, 84; (0, 0, 51; (0, 0, 69; (0, 0, 80; (0, 0, 94; (0, 0, 96; (0, 0, 106; (0, 0, 119; (0, 0, 105; (0, 0, 107; (0, 0, 117; (0, 0, 119; (0, 0, 86; (0, 0, 86; (0, 0, 82; (0, 0, 102; (0, 0, 97; (0, 0, 135; (0, 0, 140; (0, 0, 88; (0, 0, 98; (0, 0, 89; (0, 0, 119; (0, 0, 445; (-8, -22, 439; (4, -24, 624; (-14, -30, 867; (-2, -4, 409; (0, 0, 563; (42, 56, 593; (0, 0, 229; (0, 0, 72; (0, 0, 88; (0, 0, 71; (0, 0, 64; (0, 0, 84; (0, 0, 79; (0, 0, 84; (0, 0, 0)
(0, 0, 31; (0, 0, 52; (0, 0, 53; (0, 0, 50; (0, 0, 82; (0, 0, 80; (0, 0, 91; (0, 0, 96; (0, 0, 109; (0, 0, 84; (0, 0, 128; (0, 0, 91; (0, 0, 104; (0, 0, 99; (0, 0, 98; (0, 0, 106; (0, 0, 89; (0, 0, 103; (0, 0, 89; (0, 0, 77; (0, 0, 81; (0, 0, 116; (0, 0, 158; (0, 0, 109; (0, 0, 65; (0, 0, 79; (-16, -40, 672; (-2, 24, 308; (6, -4, 189; (2, 32, 310; (0, 0, 515; (40, 56, 496; (0, 0, 300; (0, 0, 103; (0, 0, 91; (0, 0, 77; (0, 0, 94; (0, 0, 99; (0, 0, 91; (0, 0, 66; (0, 0, 0)
(0, 0, 36; (0, 0, 49; (0, 0, 58; (0, 0, 62; (0, 0, 55; (0, 0, 82; (0, 0, 85; (0, 0, 111; (0, 0, 107; (0, 0, 111; (0, 0, 84; (0, 0, 110; (0, 0, 107; (0, 0, 117; (0, 0, 105; (0, 0, 89; (0, 0, 122; (0, 0, 108; (0, 0, 90; (0, 0, 54; (0, 0, 80; (0, 0, 145; (0, 0, 218; (0, 0, 227; (0, 0, 97; (0, 0, 299; (-16, -52, 673; (-2, 8, 298; (0, 0, 258; (4, 6, 735; (0, 0, 739; (36, 22, 782; (0, 0, 551; (0, 0, 234; (0, 0, 137; (0, 0, 85; (0, 0, 94; (0, 0, 102; (0, 0, 89; (0, 0, 55; (0, 0, 0)
(0, 0, 33; (0, 0, 37; (0, 0, 73; (0, 0, 52; (0, 0, 78; (0, 0, 100; (0, 0, 85; (0, 0, 102; (0, 0, 118; (0, 0, 126; (0, 0, 91; (0, 0, 109; (0, 0, 121; (0, 0, 107; (0, 0, 105; (0, 0, 107; (0, 0, 118; (0, 0, 96; (0, 0, 104; (0, 0, 97; (0, 0, 49; (0, 0, 82; (0, 0, 98; (0, 0, 155; (0, 0, 279; (0, 0, 177; (62, -50, 1114; (-10, -2, 459; (0, 0, 203; (0, 0, 250; (-2, 14, 314; (0, 0, 671; (26, 4, 523; (0, 0, 649; (0, 0, 280; (0, 0, 64; (0, 0, 107; (0, 0, 99; (0, 0, 101; (0, 0, 62; (0, 0, 0)
(0, 0, 36; (0, 0, 28; (0, 0, 44; (0, 0, 64; (0, 0, 97; (0, 0, 75; (0, 0, 110; (0, 0, 94; (0, 0, 114; (0, 0, 91; (0, 0, 104; (0, 0, 101; (0, 0, 82; (0, 0, 82; (0, 0, 104; (0, 0, 110; (0, 0, 121; (0, 0, 113; (0, 0, 95; (0, 0, 110; (0, 0, 86; (0, 0, 94; (0, 0, 79; (0, 0, 129; (0, 0, 252; (-8, 0, 238; (0, 0, 1278; (44, -2, 610; (0, 0, 266; (0, 0, 149; (2, 34, 254; (0, 0, 528; (24, -8, 451; (0, 0, 447; (0, 0, 260; (0, 0, 79; (0, 0, 80; (0, 0, 74; (0, 0, 95; (0, 0, 69; (0, 0, 0)
(0, 0, 34; (0, 0, 46; (0, 0, 26; (0, 0, 66; (0, 0, 70; (0, 0, 69; (0, 0, 99; (0, 0, 89; (0, 0, 121; (0, 0, 77; (0, 0, 112; (0, 0, 115; (0, 0, 120; (0, 0, 111; (0, 0, 95; (0, 0, 94; (0, 0, 113; (0, 0, 106; (0, 0, 124; (0, 0, 111; (0, 0, 100; (0, 0, 79; (0, 0, 92; (0, 0, 485; (0, 0, 695; (0, 0, 347; (0, 0, 251; (0, 0, 272; (0, 0, 183; (12, 18, 410; (6, -6, 934; (2, 10, 1099; (22, -22, 439; (0, 0, 326; (0, 0, 161; (0, 0, 66; (0, 0, 93; (0, 0, 84; (0, 0, 79; (0, 0, 66; (0, 0, 0)
(0, 0, 27; (0, 0, 39; (0, 0, 60; (0, 0, 67; (0, 0, 93; (0, 0, 87; (0, 0, 96; (0, 0, 86; (0, 0, 133; (0, 0, 56; (0, 0, 112; (0, 0, 103; (0, 0, 127; (0, 0, 98; (0, 0, 111; (0, 0, 96; (0, 0, 116; (0, 0, 106; (0, 0, 78; (0, 0, 86; (0, 0, 83; (0, 0, 112; (0, 0, 131; (0, 0, 170; (0, -2, 453; (0, 0, 247; (0, 0, 149; (44, 32, 744; (36, 2, 1178; (48, 0, 1835; (16, 2, 2751; (2, 2, 2433; (20, -38, 482; (0, 0, 469; (-2, -30, 449; (0, 0, 69; (0, 0, 69; (0, 0, 57; (0, 0, 96; (0, 0, 95; (0, 0, 0)
(0, 0, 20; (0, 0, 50; (0, 0, 54; (0, 0, 52; (0, 0, 61; (0, 0, 81; (0, 0, 101; (0, 0, 89; (0, 0, 70; (0, 0, 46; (0, 0, 58; (0, 0, 80; (0, 0, 128; (0, 0, 94; (0, 0, 148; (0, 0, 106; (0, 0, 137; (0, 0, 117; (0, 0, 72; (0, 0, 77; (0, 0, 76; (0, 0, 74; (0, 0, 137; (0, 0, 252; (0, -4, 534; (0, 0, 645; (0, 0, 656; (42, 10, 535; (-54, 52, 1073; (18, -64, 1408; (60, 2, 2213; (2, -8, 1363; (22, -52, 406; (0, 0, 530; (-2, 22, 563; (0, 0, 73; (0, 0, 82; (0, 0, 76; (0, 0, 105; (0, 0, 82; (0, 0, 0)
